price,mileage,engineSize,transmission,fuelType,link,imageLink
1495,96000,1.4L,Manual,Diesel,https://www.autotrader.co.uk/car-details/202212292834981?onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&make=Ford&radius=1501&model=Fiesta&year-to=2006&postcode=tq122pu&advertising-location=at_cars&exclude-writeoff-categories=on&sort=relevance&page=1,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/9055ba3160a04166b75c7763411711d5.jpg
1100,88000,1.2L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212162577897?onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&make=Ford&radius=1501&model=Fiesta&year-to=2006&postcode=tq122pu&advertising-location=at_cars&exclude-writeoff-categories=on&sort=relevance&page=1,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/06ef5040faaa47a5b125ad1c3859150b.jpg
790,119000,1.4L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212202665729?onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&make=Ford&radius=1501&model=Fiesta&year-to=2006&postcode=tq122pu&advertising-location=at_cars&exclude-writeoff-categories=on&sort=relevance&page=1,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/09c56387217e4e979d640c66a7921240.jpg
1799,97000,1.4L,Manual,Diesel,https://www.autotrader.co.uk/car-details/202212292816616?onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&make=Ford&radius=1501&model=Fiesta&year-to=2006&postcode=tq122pu&advertising-location=at_cars&exclude-writeoff-categories=on&sort=relevance&page=1,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/1c8c5dbd615d426bad5c84fcdfcc5ce9.jpg
2145,150000,1.4L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212102436443?onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&make=Ford&radius=1501&model=Fiesta&year-to=2006&postcode=tq122pu&advertising-location=at_cars&exclude-writeoff-categories=on&sort=relevance&page=1,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/c324281d0fd74d74a610cacf773e80ef.jpg
1995,110102,1.6L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212272785525?onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&make=Ford&radius=1501&model=Fiesta&year-to=2006&postcode=tq122pu&advertising-location=at_cars&exclude-writeoff-categories=on&sort=relevance&page=1,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/bfee3f4366e84536bfb6212a6afd6a60.jpg
1399,110683,1.4L,Manual,Diesel,https://www.autotrader.co.uk/car-details/202212202663534?onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&make=Ford&radius=1501&model=Fiesta&year-to=2006&postcode=tq122pu&advertising-location=at_cars&exclude-writeoff-categories=on&sort=relevance&page=1,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/827526b382a54b11955c153568718ba6.jpg
1394,114000,1.25L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202208138761842?onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&make=Ford&radius=1501&model=Fiesta&year-to=2006&postcode=tq122pu&advertising-location=at_cars&exclude-writeoff-categories=on&sort=relevance&page=1,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/4d90c06beb49433b90abfc99beb3050f.jpg
1450,50000,1.4L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212222720549?onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&make=Ford&radius=1501&model=Fiesta&year-to=2006&postcode=tq122pu&advertising-location=at_cars&exclude-writeoff-categories=on&sort=relevance&page=1,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/8c25a756a05540918e429c52638b83c3.jpg
2000,55750,1.25L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202209079524965?onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&make=Ford&radius=1501&model=Fiesta&year-to=2006&postcode=tq122pu&advertising-location=at_cars&exclude-writeoff-categories=on&sort=relevance&page=1,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/180570ae09244440bf9bcdb9f2c03e3c.jpg
